"Course","Area B","Writing","Area C","Area E","Quant. Relationships","IGETC Category","AHI","Area D","Area F","Ethnicity","Euro Trad","World Cult","Area G"
"C LIT 35",0,1,0,1,0,0,0,0,0,0,0,0,0
"C LIT 36",0,1,0,0,0,0,0,0,0,0,0,1,0
"C LIT 43",0,1,0,1,0,0,0,0,0,0,0,0,0
"C LIT 50",0,0,0,1,0,0,0,0,0,0,1,0,0
"CH ST 1",0,1,0,0,0,0,1,1,0,1,0,0,0
"CH ST 113",0,0,0,1,0,0,0,0,0,0,0,1,0
"CH ST 114",0,0,0,0,0,0,0,1,0,0,0,0,0
"CH ST 124",0,0,0,0,0,0,0,1,0,1,0,0,0
"CH ST 125",0,0,0,0,0,0,0,0,1,1,0,0,0
"CH ST 13",0,0,0,1,0,0,0,0,0,0,0,1,0
"CH ST 137",0,0,0,0,0,0,0,1,0,1,0,0,0
"CH ST 138",0,0,0,0,0,0,0,0,1,1,0,0,0
"CH ST 140",0,0,0,0,0,0,0,1,0,1,0,0,0
"CH ST 144",0,1,0,0,0,0,1,1,0,1,0,0,0
"CH ST 148",0,0,0,0,0,0,0,0,1,1,0,0,0
"CH ST 151",0,0,0,0,0,0,0,1,0,1,0,0,0
"CH ST 152",0,1,0,0,0,0,0,0,0,1,0,0,1
"CH ST 168",0,0,0,0,0,0,1,1,0,1,0,0,0
"CH ST 172",0,1,0,0,0,0,0,1,0,1,0,0,0
"CH ST 173",0,0,0,0,0,0,0,1,0,1,0,0,0
"CH ST 174",0,0,0,0,0,0,1,1,0,1,0,0,0
"CH ST 175",0,1,0,0,0,0,0,1,0,1,0,0,0
"CH ST 176",0,0,0,0,0,0,0,1,0,0,0,0,0
"CH ST 178",0,0,0,0,0,0,0,1,0,1,0,0,0
"CH ST 179",0,1,0,0,0,0,0,1,0,0,0,0,0
"CH ST 180",0,1,0,0,0,0,0,0,0,1,0,0,1
"CH ST 181",0,1,0,0,0,0,0,0,0,1,0,0,1
"CH ST 184",0,1,0,0,0,0,0,0,0,1,0,0,1
"CH ST 187",0,1,0,0,0,0,0,1,0,1,0,0,0
"CH ST 188",0,0,0,0,0,0,1,0,1,1,0,0,0
"CHEM 1",0,0,1,0,1,0,0,0,0,0,0,0,0
"CHEM 2",0,0,1,0,1,0,0,0,0,0,0,0,0
"CHIN 115",0,0,0,0,0,0,0,0,0,0,0,1,1
"CHIN 124",0,1,0,0,0,0,0,0,0,0,0,1,1
"CHIN 132",0,1,0,0,0,0,0,0,0,0,0,1,1
